host,country,isolation,collection_date
Homo sapiens,Brazil,sperm,2016/05/12
Homo sapiens,Brazil,sperm,2016/05/19
Homo sapiens,Brazil,sperm,2016/06/02
Homo sapiens,Brazil,sperm,2016/06/09
Homo sapiens,Colombia,blood,2016/04/28
Homo sapiens,Colombia,blood,2016/04/05
Homo sapiens,Dominican Republic,blood,2016/04/05
Homo sapiens,Dominican Republic,urine,2016/04/05
Homo sapiens,Dominican Republic,urine,2016/04/07
Homo sapiens,Dominican Republic,blood,2016/04/07
Homo sapiens,Dominican Republic,blood,2016/04/11
Homo sapiens,Dominican Republic,urine,2016/04/11
Homo sapiens,Dominican Republic,blood,2016/04/11
Homo sapiens,Dominican Republic,blood,2016/04/18
Homo sapiens,Dominican Republic,urine,2016/04/18
Homo sapiens,Dominican Republic,blood,2016/04/18
Homo sapiens,Dominican Republic,blood,2016/04/20
Homo sapiens,Dominican Republic,blood,2016/04/21
Homo sapiens,Dominican Republic,blood,2016/04/27
Homo sapiens,Dominican Republic,blood,2016/06/13
Homo sapiens,Dominican Republic,blood,2016/06/14
Homo sapiens,Dominican Republic,blood,2016/05/10
Homo sapiens,Dominican Republic,blood,2016/06/06
Homo sapiens,Dominican Republic,blood,2016/07/07
Homo sapiens,Honduras,blood,2016/05/28
Homo sapiens,Honduras,blood,2016/06/04
Homo sapiens,Honduras,blood,2016/06/06
Homo sapiens,Honduras,blood,2016/06/07
Homo sapiens,Honduras,blood,2016/06/10
Homo sapiens,Honduras,blood,2016/06/10
Homo sapiens,Honduras,blood,2016/04/30
Homo sapiens,Honduras,blood,2016/05/09
Homo sapiens,Honduras,blood,2016/05/13
Homo sapiens,Honduras,blood,2016/05/13
Homo sapiens,Jamaica,blood,2016/07/10
Homo sapiens,Jamaica,blood,2016/06/13
Homo sapiens,Puerto Rico,blood,2016/04/13
Homo sapiens,Puerto Rico,blood,2016/06/26
Homo sapiens,USA,urine,2016/06/22
Homo sapiens,USA,urine,2016/07/19
Homo sapiens,USA,urine,2016/08/02
